content,content_clean
장동혁 “이제 내부총질 없는 단일대오 국민의힘 만들 것”,장동혁 이제 내부총질 없는 단일대오 국민의힘 만들 것
"홍준표 ""국힘, 김문수에 두 번 속지 않았지만""…제기한 우려",홍준표 국힘 김문수에 두 번 속지 않았지만제기한 우려
트럼프가 “나이스”하며 탐낸 이 대통령 펜…모나미 주가 들썩,트럼프가 나이스하며 탐낸 이 대통령 펜모나미 주가 들썩
"조국, 전두환 표지석 밟으며 ""윤석열 운명도 이럴 것 확신""",조국 전두환 표지석 밟으며 윤석열 운명도 이럴 것 확신
"여당, 3대 특검법 개정안 발의…“수사 기간 연장”",여당 3대 특검법 개정안 발의수사 기간 연장
위성락 “방위비분담금 논의 없어…국방비 증액은 논의”,위성락 방위비분담금 논의 없어국방비 증액은 논의
"당정 ""내년 R&D 예산 역대 최대 편성...'전기차 전환 지원금' 신설""",당정 내년 RD 예산 역대 최대 편성전기차 전환 지원금 신설
“이제 ‘안보 미국·경제 중국’ 시대 끝나”…맞춤형 메시지로 트럼프 녹인 이재명,이제 안보 미국경제 중국 시대 끝나맞춤형 메시지로 트럼프 녹인 이재명
"과방위, 방통위 개편법 상정…與 '방통위 정상화' 외치며 속도전",과방위 방통위 개편법 상정與 방통위 정상화 외치며 속도전
'거북선·골프채·마가 모자' 건넨 李…트럼프에 받은 선물은,거북선골프채마가 모자 건넨 李트럼프에 받은 선물은
삼성그룹 하반기 공채 떴다 27일부터 계열사 19곳 참여,삼성그룹 하반기 공채 떴다 27일부터 계열사 19곳 참여
김해공항 등에서 외국 기업인 입국 시간 대폭 줄어든다,김해공항 등에서 외국 기업인 입국 시간 대폭 줄어든다
"현대차그룹, 대미투자액 50억달러 늘렸다…2028년까지 260억달러",현대차그룹 대미투자액 50억달러 늘렸다2028년까지 260억달러
"HD현대, 부산 박람회서 ‘에너지 고속도로’ 전시[Biz & Now]",HD현대 부산 박람회서 에너지 고속도로 전시Biz  Now
"중견기업계 ""한미 정상회담, '열린 소통 전환점' 남을 것""",중견기업계 한미 정상회담 열린 소통 전환점 남을 것
"민생 회복 소비 쿠폰 효과 있었네, 소상공인 매출 6.44% 증가",민생 회복 소비 쿠폰 효과 있었네 소상공인 매출 644 증가
"LG이노텍, 美시카고서 AI·자율주행 분야 인재 확보 노력",LG이노텍 美시카고서 AI자율주행 분야 인재 확보 노력
"조선 다음은 원전, 美 SMR 건설 교두보 다졌다 [한미정상회담  경제협력]",조선 다음은 원전 美 SMR 건설 교두보 다졌다 한미정상회담 경제협력
"삼성화재, 안내견과 함께한 32년 기념식",삼성화재 안내견과 함께한 32년 기념식
"삼성重, 美 조선사와 MRO 협력 MOU…공동건조도",삼성重 美 조선사와 MRO 협력 MOU공동건조도
"권성동 ""27일 오전 10시, 특검 조사 출석하겠다""",권성동 27일 오전 10시 특검 조사 출석하겠다
김건희 여사 29일 구속기소…전직 대통령 부부 ‘구속 재판’,김건희 여사 29일 구속기소전직 대통령 부부 구속 재판
"경찰, '유착 비리 의혹' 서울 해군 호텔 웨딩홀 압수수색",경찰 유착 비리 의혹 서울 해군 호텔 웨딩홀 압수수색
'의심계좌 동결法' 국회 문턱 넘을까,의심계좌 동결法 국회 문턱 넘을까
특구서 성장한 20개 혁신기업 성장스토리 ‘눈길’,특구서 성장한 20개 혁신기업 성장스토리 눈길
결혼식 중 하객 머리로 샹들리에 추락…호텔 임직원 2명 송치,결혼식 중 하객 머리로 샹들리에 추락호텔 임직원 2명 송치
양육비 소액 지급 '꼼수' 부려도 선지급 신청 가능,양육비 소액 지급 꼼수 부려도 선지급 신청 가능
"“범죄는 인정, 전자발찌는 싫어”…접근금지 풀리자 아내 살해한 남성의 주장",범죄는 인정 전자발찌는 싫어접근금지 풀리자 아내 살해한 남성의 주장
"""교회 급습, 미군 정보 빼가"" 트럼프 '입'에 놀란 특검... 논란 확산 차단 주력",교회 급습 미군 정보 빼가 트럼프 입에 놀란 특검 논란 확산 차단 주력
"김태흠 충남지사, 中상하이 시장 만나 첨단미래산업 협력 제안",김태흠 충남지사 中상하이 시장 만나 첨단미래산업 협력 제안
"부산·경남(26일, 화)…5~30㎜ 비, 낮 최고 33도[오늘의 날씨]",부산경남26일 화530 비 낮 최고 33도오늘의 날씨
"'성폭행 무혐의' 김건모, 6년만에 복귀…""한순간도 음악 안 놓았다""",성폭행 무혐의 김건모 6년만에 복귀한순간도 음악 안 놓았다
"서른살 BIFF, 경쟁영화제 첫 발…“역대 최고·최다 라인업  준비”",서른살 BIFF 경쟁영화제 첫 발역대 최고최다 라인업 준비
비 그친 뒤 무더위…폭염특보 다시 확대될 수도,비 그친 뒤 무더위폭염특보 다시 확대될 수도
'80년' 역사상 처음 있는 일…'케데헌' 대박에 난리난 곳,80년 역사상 처음 있는 일케데헌 대박에 난리난 곳
"""GD 따라 나도 타볼까""…사이버트럭, 韓 상륙에 '반응 폭발'",GD 따라 나도 타볼까사이버트럭 韓 상륙에 반응 폭발
"이동석 현대차 대표, 노조에 교섭재개 요청…""위기 극복 위해 힘 모아야""",이동석 현대차 대표 노조에 교섭재개 요청위기 극복 위해 힘 모아야
AI로 IPTV 상태 파악…LG U+ “고객 불만 제로”,AI로 IPTV 상태 파악LG U 고객 불만 제로
"K-게임 성장동력은 AI…""AI는 창의성을 증강시키는 도구""",K게임 성장동력은 AIAI는 창의성을 증강시키는 도구
"우버 月4900원 구독 첫 선…""카카오보다 많이"" 최대 10% 적립",우버 月4900원 구독 첫 선카카오보다 많이 최대 10 적립
K-게임 中 신규 ‘판호’ 3종 획득… 올해 들어 총 14종 ‘한한령 이후 최대’,K게임 中 신규 판호 3종 획득 올해 들어 총 14종 한한령 이후 최대
"""원가도 설마 봉투값?""…종량제 봉투 닮은 명품백 가격이 무려",원가도 설마 봉투값종량제 봉투 닮은 명품백 가격이 무려
중 특사단 “한·중 정상궤도 진입 노력”…중국 “양국 관계 발전 원해”,중 특사단 한중 정상궤도 진입 노력중국 양국 관계 발전 원해
"""후지산 언제 분화해도 안 이상""…日정부, CG통해 사전대비 강조",후지산 언제 분화해도 안 이상日정부 CG통해 사전대비 강조
"日, 車구입 세금 일부 폐지 검토…""美관세 타격 업계 지원""",日 車구입 세금 일부 폐지 검토美관세 타격 업계 지원
"미 상무장관 ""일본 대미투자 후속 합의, 이번 주 후반 발표""",미 상무장관 일본 대미투자 후속 합의 이번 주 후반 발표
"""이스라엘군, 내각이 '가자지구 군정' 추진할까 우려""",이스라엘군 내각이 가자지구 군정 추진할까 우려
"BTS 뷔, 오타니와 ‘역대급 만남’…LA다저스 시구 나섰다",BTS 뷔 오타니와 역대급 만남LA다저스 시구 나섰다
"트럼프, 리사 쿡 연준 이사 해임…이사회 장악 수순",트럼프 리사 쿡 연준 이사 해임이사회 장악 수순
트럼프 “국방부를 전쟁부로…방어 아닌 공격도 원해”,트럼프 국방부를 전쟁부로방어 아닌 공격도 원해
트럼프 “美디지털기업 과세·규제하는 국가에 추가관세”…韓도 대상?,트럼프 美디지털기업 과세규제하는 국가에 추가관세韓도 대상
